"CodeNum","Code","Glyph","Decimal","HTML","Description","#"
"0000","U+0000",'',"0",'',"Null character","NUL"
"0001","U+0001",'',"1",'',"Start of Heading","SOH"
"0002","U+0002",'',"2",'',"Start of Text","STX"
"0003","U+0003",'',"3",'',"End-of-text character","ETX"
"0004","U+0004",'',"4",'',"End-of-transmission character","EOT"
"0005","U+0005",'',"5",'',"Enquiry character","ENQ"
"0006","U+0006",'',"6",'',"Acknowledge character","ACK"
"0007","U+0007",'',"7",'',"Bell character","BEL"
"0008","U+0008",'',"8",'',"Backspace","BS"
"0009","U+0009",'',"9",'',"Horizontal tab","HT"
"000A","U+000A",'',"10",'',"Line feed","LF"
"000B","U+000B",'',"11",'',"Vertical tab","VT"
"000C","U+000C",'',"12",'',"Form feed","FF"
"000D","U+000D",'',"13",'',"Carriage return","CR"
"000E","U+000E",'',"14",'',"Shift Out","SO"
"000F","U+000F",'',"15",'',"Shift In","SI"
"0010","U+0010",'',"16",'',"Data Link Escape","DLE"
"0011","U+0011",'',"17",'',"Device Control 1","DC1"
"0012","U+0012",'',"18",'',"Device Control 2","DC2"
"0013","U+0013",'',"19",'',"Device Control 3","DC3"
"0014","U+0014",'',"20",'',"Device Control 4","DC4"
"0015","U+0015",'',"21",'',"Negative-acknowledge character","NAK"
"0016","U+0016",'',"22",'',"Synchronous Idle","SYN"
"0017","U+0017",'',"23",'',"End of Transmission Block","ETB"
"0018","U+0018",'',"24",'',"Cancel character","CAN"
"0019","U+0019",'',"25",'',"End of Medium","EM"
"001A","U+001A",'',"26",'',"Substitute character","SUB"
"001B","U+001B",'',"27",'',"Escape character","ESC"
"001C","U+001C",'',"28",'',"File Separator","FS" 
"001D","U+001D",'',"29",'',"Group Separator","GS"
"001E","U+001E",'',"30",'',"Record Separator","RS"
"001F","U+001F",'',"31",'',"Unit Separator","US"
"0020","U+0020",'',"32",'',"Space","1"
"0027","U+0027","'","39",'',"Apostrophe","8"
"0060","U+0060","`","96",'',"Grave accent","65"
"00A0","U+00A0"," ","0160","&nbsp;","Non-breaking space","0096"
"00AD","U+00AD"," ","0173","&shy;","Soft hyphen","109"
"02BB","U+02BB","ʻ","699",'',"Modifier Letter Turned Comma","356"
"02BC","U+02BC","ʼ","700",'',"Modifier Letter Apostrophe","357"
"02BD","U+02BD","ʽ","701",'',"Modifier Letter Reversed Comma","358"
"02BE","U+02BE","ʾ","702",'',"Modifier Letter Right Half Ring"
"02BF","U+02BF","ʿ","703",'',"Modifier Letter Left Half Ring" 
"02C8","U+02C8","ˈ","712",'',"Modifier Letter Vertical Line"
"02C9","U+02C9","ˉ","713",'',"Modifier Letter Macron","0361"
"02CA","U+02CA","ˊ","714",'',"Modifier Letter Acute Accent"
"02CB","U+02CB","ˋ","715",'',"Modifier Letter Grave Accent"
"02CC","U+02CC","ˌ","716",'',"Modifier Letter Low Vertical Line"
"02CD","U+02CD","ˍ","717",'',"Modifier Letter Low Macron"
"02CE","U+02CE","ˎ","718",'',"Modifier Letter Low Grave Accent"
"02CF","U+02CF","ˏ","719",'',"Modifier Letter Low Acute Accent"
"02DB","U+02DB","˛","731",'',"Ogonek","0366"
"02DC","U+02DC","˜","732",'',"Small Tilde","0367"
"02DD","U+02DD","˝","733",'',"Double Acute Accent","0368"
"02EE","U+02EE","ˮ","750",'',"Modifier Letter Double Apostrophe"
"02F5","U+02F5","˵","757",'',"Modifier Letter Middle Double Grave Accent"
"02F6","U+02F6","˶","758",'',"Modifier Letter Middle Double Acute Accent"
"02F7","U+02F7","˷","759",'',"Modifier Letter Low Tilde"
"2013","U+2013","–","0903",'',"En dash"
"2014","U+2014","—","0904",'',"Em dash"
"2015","U+2015","―","0905",'',"Horizontal bar"
"2018","U+2018","‘","0907",'',"Left single quotation mark"
"2019","U+2019","’","0908",'',"Right single quotation mark"
"201B","U+201B","‛","0910",'',"Single high-reversed-9 quotation mark"
"201C","U+201C","“","0911",'',"Left double quotation mark"
"201D","U+201D","”","0912",'',"Right double quotation mark"
"2022","U+2022","•","0916",'',"Bullet"
"200B","U+200B",'',"0420","&#8204;","ZERO WIDTH NON-JOINER","<ZWNJ>","IdentifierPart"
"200C","U+200C",'',"0420","&#8204;","ZERO WIDTH NON-JOINER","<ZWNJ>","IdentifierPart"
"200D","U+200D",'',"0420","&#8205;","ZERO WIDTH JOINER","<ZWJ>","IdentifierPart"
"FEFF","U+FEFF",'',"0420","&#65279;","ZERO WIDTH NO-BREAK SPACE","<ZWNBSP>","WhiteSpace"
"2028","U+2028",'',"0420","&#8232;","LINE SEPARATOR","<LS>"
"2029","U+2029",'',"0420","&#8233;","PARAGRAPH SEPARATOR","<PS>"
"0085","U+0085",'',"133","&#x0085;","next line","<control-0085>"
"1680","U+1680",'',"5760","&#5760;","ogham space mark"
"180E","U+180E",'',"6158","&#6158;","mongolian vowel separator"
"2000","U+2000",'',"8192","&#8192;","en quad"
"2001","U+2001",'',"8193","&#8193;","em quad"
"2002","U+2002",'',"8194","&#8194;","en space"
"2003","U+2003",'',"8195","&#8195;","em space"
"2004","U+2004",'',"8196","&#8196;","three-per-em space"
"2005","U+2005",'',"8197","&#8197;","four-per-em space"
"2006","U+2006",'',"8198","&#8198;","six-per-em space"
"2007","U+2007",'',"8199","&#8199;","figure space"
"2008","U+2008",'',"8200","&#8200;","punctuation space"
"2009","U+2009",'',"8201","&#8201;","thin space"
"200A","U+200A",'',"8202","&#8202;","hair space"
"202F","U+202F",'',"8239","&#8239;","narrow no-break space"
"205F","U+205F",'',"8287","&#8287;","medium mathematical space"
"2060","U+2060",'',"8288","&#8288;","word joiner"
"3000","U+3000",'',"12288","&#12288;","ideographic space"